Dystans do przejscia: 100, dlugosc kroku: 20
49: (x, y) = (5.39695, -9.64987)
50: (x, y) = (3.44821, -9.19997)
51: (x, y) = (1.8099, -10.3471)
52: (x, y) = (2.86974, -8.65103)
53: (x, y) = (2.76507, -10.6483)
54: (x, y) = (2.90458, -8.65316)
55: (x, y) = (1.4659, -7.26384)
56: (x, y) = (3.40649, -6.78)
57: (x, y) = (2.25934, -5.14169)
58: (x, y) = (4.25447, -5.00218)
59: (x, y) = (6.21772, -4.62056)
60: (x, y) = (6.00867, -2.63152)
61: (x, y) = (4.33132, -1.54224)
62: (x, y) = (2.56543, -2.48118)
63: (x, y) = (2.42592, -0.486054)
64: (x, y) = (1.94207, 1.45454)
65: (x, y) = (0.101063, 0.673075)
66: (x, y) = (-1.68095, -0.234906)
67: (x, y) = (-0.931737, -2.08927)
68: (x, y) = (-2.62783, -1.02944)
69: (x, y) = (-3.88647, -2.58373)
70: (x, y) = (-5.54455, -3.70211)
71: (x, y) = (-3.86721, -2.61283)
72: (x, y) = (-5.61645, -1.64322)
73: (x, y) = (-4.58637, -3.35755)
74: (x, y) = (-2.78878, -2.48081)
75: (x, y) = (-2.68411, -0.483549)
76: (x, y) = (-3.99623, -1.99297)
77: (x, y) = (-4.03113, 0.00672755)
78: (x, y) = (-2.61692, -1.40749)
79: (x, y) = (-3.61692, -3.13954)
80: (x, y) = (-1.61814, -3.20934)
81: (x, y) = (-1.99976, -5.17259)
82: (x, y) = (-3.73181, -4.17259)
83: (x, y) = (-1.73455, -4.27726)
84: (x, y) = (0.254495, -4.48632)
85: (x, y) = (-1.58651, -5.26778)
86: (x, y) = (-3.55613, -4.92048)
87: (x, y) = (-2.27055, -6.45257)
88: (x, y) = (-0.831875, -5.06326)
89: (x, y) = (-1.86195, -3.34892)
90: (x, y) = (-2.70719, -5.16154)
91: (x, y) = (-4.68256, -4.84867)
92: (x, y) = (-4.82208, -6.8438)
93: (x, y) = (-4.92675, -4.84654)
94: (x, y) = (-4.85695, -2.84776)
95: (x, y) = (-5.54099, -4.72714)
96: (x, y) = (-7.09528, -5.98578)
97: (x, y) = (-6.44415, -4.09475)
98: (x, y) = (-7.44415, -5.8268)
99: (x, y) = (-9.41376, -5.4795)
100: (x, y) = (-10.9001, -4.14124)
101: (x, y) = (-9.41376, -2.80298)
102: (x, y) = (-11.3625, -2.35308)
103: (x, y) = (-9.3625, -2.35308)
104: (x, y) = (-10.6746, -0.843656)
105: (x, y) = (-9.52747, -2.48196)
106: (x, y) = (-9.11164, -4.43826)
107: (x, y) = (-9.04184, -2.43947)
108: (x, y) = (-11.0269, -2.68321)
109: (x, y) = (-11.1664, -4.67834)
110: (x, y) = (-9.21015, -4.26252)
111: (x, y) = (-10.5995, -2.82384)
112: (x, y) = (-9.85026, -0.96947)
113: (x, y) = (-11.6162, -1.90841)
114: (x, y) = (-12.2342, -0.00629994)
115: (x, y) = (-11.2041, -1.72063)
116: (x, y) = (-13.2014, -1.61596)
117: (x, y) = (-11.2041, -1.72063)
118: (x, y) = (-10.2652, -3.48653)
119: (x, y) = (-11.8832, -4.6621)
120: (x, y) = (-9.97059, -5.24684)
121: (x, y) = (-10.2143, -7.23194)
122: (x, y) = (-8.28248, -6.7143)
123: (x, y) = (-6.29739, -6.47056)
124: (x, y) = (-5.58065, -4.6034)
125: (x, y) = (-6.86623, -3.07131)
126: (x, y) = (-7.71146, -4.88393)
127: (x, y) = (-7.50241, -2.89488)
128: (x, y) = (-6.81837, -1.0155)
129: (x, y) = (-5.45437, 0.447211)
130: (x, y) = (-7.1687, 1.47729)
131: (x, y) = (-7.61861, 3.42603)
132: (x, y) = (-8.49535, 5.22362)
133: (x, y) = (-9.11338, 7.12573)
134: (x, y) = (-11.0697, 7.54155)
135: (x, y) = (-9.15707, 6.95681)
136: (x, y) = (-7.22522, 7.47445)
137: (x, y) = (-6.70758, 9.4063)
138: (x, y) = (-6.91664, 7.41725)
139: (x, y) = (-8.64869, 6.41725)
140: (x, y) = (-6.70809, 6.9011)
141: (x, y) = (-7.91172, 8.49837)
142: (x, y) = (-7.84193, 6.49959)
143: (x, y) = (-8.3932, 4.57706)
144: (x, y) = (-10.3783, 4.8208)
145: (x, y) = (-8.78102, 6.02443)
146: (x, y) = (-7.2716, 7.33655)
147: (x, y) = (-5.29107, 7.05821)
148: (x, y) = (-3.47845, 6.21297)
149: (x, y) = (-1.65136, 7.02644)
150: (x, y) = (-1.92971, 5.04591)
151: (x, y) = (-0.0275929, 4.42787)
152: (x, y) = (1.70446, 5.42787)
153: (x, y) = (0.445817, 3.87358)
154: (x, y) = (-1.55296, 3.94338)
155: (x, y) = (-2.30218, 5.79775)
156: (x, y) = (-3.96025, 6.91613)
157: (x, y) = (-1.99064, 7.26343)
158: (x, y) = (-3.40485, 5.84922)
159: (x, y) = (-5.38539, 6.12756)
160: (x, y) = (-3.53102, 6.87677)
161: (x, y) = (-2.06831, 8.24077)
162: (x, y) = (-3.1867, 9.89885)
163: (x, y) = (-5.16207, 10.2117)
164: (x, y) = (-6.42072, 11.766)
165: (x, y) = (-8.4195, 11.8358)
166: (x, y) = (-9.44957, 13.5501)
167: (x, y) = (-11.1639, 14.5802)
168: (x, y) = (-12.0719, 12.7982)
169: (x, y) = (-10.0768, 12.9377)
170: (x, y) = (-11.3889, 14.4471)
171: (x, y) = (-11.4587, 12.4484)
172: (x, y) = (-13.313, 13.1976)
173: (x, y) = (-11.8744, 14.5869)
174: (x, y) = (-13.687, 13.7416)
175: (x, y) = (-12.3487, 12.2554)
176: (x, y) = (-10.5216, 13.0688)
177: (x, y) = (-12.376, 12.3196)
178: (x, y) = (-10.9133, 10.9556)
179: (x, y) = (-8.91451, 10.8858)
180: (x, y) = (-10.4905, 12.1171)
181: (x, y) = (-12.1866, 13.177)
182: (x, y) = (-12.082, 15.1742)
183: (x, y) = (-13.973, 14.5231)
Po 184 krokach delikwent osiagnal polozenie: 
(x, y) = (-13.973, 14.5231)
 czyli
(m, a) = (20.1535, 133.894)
Srednia dlugosc kroku pozornego = 0.10953
